age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
42,blue-collar,married,primary,no,-10,yes,no,unknown,9,may,291,4,-1,0,unknown,no,2026-01-26 00:00:00
40,services,married,secondary,no,2172,yes,yes,unknown,13,may,1386,1,-1,0,unknown,no,2026-01-26 01:00:00
32,admin.,single,secondary,yes,-17,no,no,unknown,9,jul,85,5,-1,0,unknown,no,2026-01-26 02:00:00
50,blue-collar,married,primary,no,260,yes,no,unknown,12,jun,237,1,-1,0,unknown,no,2026-01-26 03:00:00
51,technician,married,tertiary,no,0,no,no,telephone,17,nov,81,1,-1,0,unknown,no,2026-01-26 04:00:00
60,technician,divorced,tertiary,no,-361,no,yes,cellular,28,jul,76,6,-1,0,unknown,no,2026-01-26 05:00:00
37,management,married,tertiary,no,6014,yes,no,cellular,15,jul,163,6,-1,0,unknown,no,2026-01-26 06:00:00
35,technician,married,tertiary,no,1526,yes,no,cellular,2,feb,236,2,217,4,failure,no,2026-01-26 07:00:00
46,admin.,married,secondary,no,547,no,yes,cellular,4,aug,114,2,-1,0,unknown,no,2026-01-26 08:00:00
56,services,married,secondary,no,6503,yes,yes,cellular,18,may,27,6,-1,0,unknown,no,2026-01-26 09:00:00
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,655,3,175,4,failure,yes,2026-01-26 10:00:00
50,management,divorced,tertiary,no,3211,yes,no,cellular,6,aug,146,5,-1,0,unknown,no,2026-01-26 11:00:00
33,blue-collar,married,secondary,no,661,yes,no,cellular,18,jul,968,1,-1,0,unknown,yes,2026-01-26 12:00:00
41,retired,single,secondary,no,1734,yes,no,cellular,12,may,151,2,343,4,failure,no,2026-01-26 13:00:00
29,technician,married,secondary,no,1697,yes,no,cellular,12,may,87,4,-1,0,unknown,no,2026-01-26 14:00:00
49,unemployed,married,primary,no,50,no,no,cellular,26,aug,169,2,-1,0,unknown,no,2026-01-26 15:00:00
49,services,married,secondary,no,4697,yes,no,cellular,31,jul,66,1,-1,0,unknown,no,2026-01-26 16:00:00
40,services,married,primary,no,1117,yes,no,unknown,13,may,280,1,-1,0,unknown,no,2026-01-26 17:00:00
58,technician,married,secondary,no,175,no,no,cellular,12,aug,92,4,-1,0,unknown,no,2026-01-26 18:00:00
33,blue-collar,married,secondary,no,328,yes,no,cellular,18,nov,160,2,182,1,failure,no,2026-01-26 19:00:00
42,management,married,tertiary,no,2,yes,yes,telephone,4,may,336,9,-1,0,unknown,no,2026-01-26 20:00:00
26,technician,married,secondary,no,523,no,no,cellular,29,jan,216,1,-1,0,unknown,no,2026-01-26 21:00:00
64,retired,divorced,primary,no,1840,no,no,cellular,25,nov,237,1,85,4,other,no,2026-01-26 22:00:00
58,management,married,tertiary,no,2076,no,no,cellular,27,aug,49,4,-1,0,unknown,no,2026-01-26 23:00:00
49,technician,divorced,secondary,no,265,yes,no,unknown,12,may,274,6,-1,0,unknown,no,2026-01-27 00:00:00
34,blue-collar,married,secondary,no,0,yes,no,cellular,20,apr,562,2,-1,0,unknown,no,2026-01-27 01:00:00
47,blue-collar,married,primary,no,236,no,yes,cellular,22,jul,166,2,-1,0,unknown,no,2026-01-27 02:00:00
33,technician,single,secondary,no,116,no,yes,cellular,4,aug,307,1,-1,0,unknown,no,2026-01-27 03:00:00
32,student,single,unknown,no,376,no,no,cellular,12,aug,192,1,91,5,failure,no,2026-01-27 04:00:00
52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,unknown,no,2026-01-27 05:00:00
26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,jul,1150,3,-1,0,unknown,yes,2026-01-27 06:00:00
31,blue-collar,married,secondary,no,2577,yes,no,unknown,13,may,611,2,-1,0,unknown,no,2026-01-27 07:00:00
40,management,divorced,tertiary,no,390,no,no,cellular,29,jul,80,3,-1,0,unknown,no,2026-01-27 08:00:00
31,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,226,1,-1,0,unknown,no,2026-01-27 09:00:00
29,technician,single,secondary,no,938,no,no,cellular,3,nov,358,1,-1,0,unknown,yes,2026-01-27 10:00:00
27,technician,single,secondary,no,3,no,no,unknown,3,jun,68,6,-1,0,unknown,no,2026-01-27 11:00:00
31,unknown,married,secondary,no,111,no,no,cellular,21,nov,504,2,93,2,failure,yes,2026-01-27 12:00:00
43,admin.,married,secondary,no,-169,yes,no,cellular,24,apr,219,1,-1,0,unknown,no,2026-01-27 13:00:00
28,technician,single,secondary,no,468,yes,no,unknown,13,may,152,3,-1,0,unknown,no,2026-01-27 14:00:00
24,blue-collar,single,primary,no,145,yes,no,cellular,15,may,520,1,345,1,failure,no,2026-01-27 15:00:00
41,admin.,married,secondary,no,338,yes,no,unknown,16,may,121,1,-1,0,unknown,no,2026-01-27 16:00:00
60,retired,divorced,secondary,no,598,no,yes,cellular,8,jul,96,1,-1,0,unknown,no,2026-01-27 17:00:00
50,management,divorced,tertiary,no,0,no,no,cellular,29,aug,128,2,-1,0,unknown,no,2026-01-27 18:00:00
27,admin.,married,secondary,no,-97,yes,no,unknown,18,jun,1528,2,-1,0,unknown,yes,2026-01-27 19:00:00
53,self-employed,married,secondary,no,1,yes,yes,unknown,23,may,178,1,-1,0,unknown,no,2026-01-27 20:00:00
24,blue-collar,married,secondary,no,32,no,no,unknown,13,may,264,3,-1,0,unknown,no,2026-01-27 21:00:00
42,blue-collar,married,primary,no,555,yes,no,unknown,8,may,249,2,-1,0,unknown,no,2026-01-27 22:00:00
53,unemployed,married,secondary,no,2180,no,no,telephone,30,jan,89,3,-1,0,unknown,no,2026-01-27 23:00:00
36,admin.,divorced,secondary,no,48,no,no,cellular,11,jul,147,10,-1,0,unknown,no,2026-01-28 00:00:00
37,management,married,secondary,no,676,no,no,telephone,18,nov,217,2,-1,0,unknown,no,2026-01-28 01:00:00
30,services,married,secondary,no,2212,yes,no,telephone,30,jan,41,1,249,2,other,no,2026-01-28 02:00:00
41,management,married,tertiary,no,371,yes,no,cellular,28,jul,81,8,-1,0,unknown,no,2026-01-28 03:00:00
34,technician,married,tertiary,no,0,no,no,cellular,26,may,58,1,-1,0,unknown,no,2026-01-28 04:00:00
28,blue-collar,married,unknown,no,52,yes,no,unknown,13,may,226,1,-1,0,unknown,no,2026-01-28 05:00:00
49,technician,married,primary,no,1569,no,no,cellular,14,jan,470,1,196,1,other,no,2026-01-28 06:00:00
40,blue-collar,divorced,unknown,no,0,no,yes,unknown,25,jun,91,2,-1,0,unknown,no,2026-01-28 07:00:00
49,services,married,primary,no,468,no,no,cellular,5,aug,608,2,-1,0,unknown,no,2026-01-28 08:00:00
61,management,married,tertiary,no,5157,no,no,cellular,13,mar,432,1,-1,0,unknown,no,2026-01-28 09:00:00
55,entrepreneur,married,tertiary,no,625,no,no,telephone,20,nov,88,2,147,4,failure,no,2026-01-28 10:00:00
55,management,married,unknown,no,559,no,no,cellular,28,jan,271,2,-1,0,unknown,no,2026-01-28 11:00:00
28,management,single,tertiary,no,1351,no,no,cellular,10,dec,267,1,-1,0,unknown,no,2026-01-28 12:00:00
30,admin.,married,secondary,no,0,no,no,cellular,1,jun,318,1,-1,0,unknown,yes,2026-01-28 13:00:00
40,management,single,tertiary,no,406,yes,no,cellular,13,may,130,1,371,1,failure,no,2026-01-28 14:00:00
39,services,married,secondary,no,64,no,no,cellular,29,jul,100,3,-1,0,unknown,no,2026-01-28 15:00:00
45,management,married,tertiary,no,1932,yes,no,cellular,17,nov,146,1,-1,0,unknown,no,2026-01-28 16:00:00
28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,331,1,-1,0,unknown,no,2026-01-28 17:00:00
26,student,single,secondary,no,706,no,no,unknown,8,oct,118,1,105,2,other,no,2026-01-28 18:00:00
39,blue-collar,single,secondary,no,523,yes,no,cellular,14,may,306,1,-1,0,unknown,no,2026-01-28 19:00:00
56,blue-collar,married,secondary,no,121,no,no,cellular,5,feb,151,1,-1,0,unknown,no,2026-01-28 20:00:00
