age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
82,retired,married,primary,no,3456.0,no,no,telephone,5,may,510,4,-1,0,unknown,yes
40,admin.,married,secondary,no,3426.0,yes,no,cellular,19,nov,154,1,-1,0,unknown,no
66,technician,married,primary,no,0.0,yes,yes,cellular,24,jul,84,1,-1,0,unknown,no
51,admin.,single,secondary,no,-163.5,yes,yes,cellular,11,may,1038,1,370,1,failure,yes
47,unemployed,married,secondary,no,1386.0,yes,no,cellular,9,feb,181,9,-1,0,unknown,no
43,technician,married,secondary,no,2151.0,yes,no,cellular,20,nov,200,1,-1,0,unknown,no
64,retired,married,secondary,no,2739.0,yes,no,cellular,17,nov,264,4,-1,0,unknown,no
42,blue-collar,single,secondary,no,79.5,yes,no,cellular,18,nov,276,1,195,1,failure,no
47,management,married,tertiary,no,2142.0,no,no,cellular,16,nov,333,2,-1,0,unknown,no
45,management,married,tertiary,no,366.0,yes,no,cellular,11,may,155,2,173,1,failure,no
45,retired,single,tertiary,no,2133.0,yes,yes,cellular,20,apr,28,7,272,3,other,no
59,technician,married,secondary,no,825.0,yes,no,unknown,5,jun,412,2,-1,0,unknown,no
63,management,divorced,secondary,no,3322.5,yes,yes,cellular,31,jul,88,14,-1,0,unknown,no
45,blue-collar,married,primary,no,457.5,yes,no,cellular,25,jul,168,2,-1,0,unknown,no
63,management,divorced,tertiary,no,5055.0,no,no,cellular,21,oct,180,1,334,3,other,no
70,retired,married,secondary,no,0.0,no,no,cellular,5,aug,143,3,-1,0,unknown,no
80,management,married,tertiary,no,8344.5,no,no,cellular,6,feb,146,1,-1,0,unknown,no
69,retired,married,secondary,yes,-3.0,no,yes,cellular,18,jul,102,1,-1,0,unknown,no
56,retired,married,secondary,no,22.5,yes,yes,cellular,20,aug,76,3,-1,0,unknown,no
41,technician,single,secondary,no,6060.0,yes,no,unknown,2,jun,213,2,-1,0,unknown,no
46,management,single,tertiary,yes,-838.5,yes,no,unknown,2,jun,71,2,-1,0,unknown,no
